DOE_ID,DOE_Type,DataSplit,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,ProposalFeasibilityScore,NearestPriorDistance,Rmax_analytic_design
172,LowTemperatureChallenge,Train,56.824440983989,25.7775500842994,40.0153727127604,0.501194907451139,0.6503611467245,0.14510049464472,0.533811264163511
173,LowTemperatureChallenge,Train,56.1678090553115,20.4005612543097,39.148760535256,0.525397322353726,0.55446262935237,0.092818309860703,0.540086876861461
174,LowTemperatureChallenge,Validation,57.5315228243182,26.9358739590049,39.2002131841176,0.49563955854391,0.794087040856535,0.107731738251495,0.527213672479154
175,LowTemperatureChallenge,Train,56.1302366827694,23.9134176470136,38.6707799965214,0.514772897018239,0.867068535597666,0.0627567171256013,0.540450407529887
176,LowTemperatureChallenge,Validation,53.6983159875881,23.751232325568,38.8272842404081,0.548525409422465,0.830497969881572,0.0391227423761534,0.565062506970437
177,LowTemperatureChallenge,Train,59.0157909529486,22.7587409919597,39.3313556581769,0.502133706272445,0.575909788159982,0.119849725810168,0.513878610070987
178,LowTemperatureChallenge,Train,58.9050552824048,26.9296630791848,40.6669416687124,0.490803710398133,0.558485958770881,0.110343298326412,0.514850290671261
179,LowTemperatureChallenge,Validation,53.9447342402444,21.7029303861668,39.1462894176434,0.558907854601931,0.550395589330724,0.108985554455162,0.562467611058191
180,LowTemperatureChallenge,Test,55.5957999842686,25.6687882473848,38.9710629146259,0.469227838522316,0.565171713789308,0.109026516692555,0.545674540318359
181,LowTemperatureChallenge,Validation,54.6823145760025,23.6206878381295,39.8321701694524,0.545560606668735,0.615120627493896,0.161646757462275,0.554840322534313
182,LowTemperatureChallenge,Train,58.5397786862277,25.8013422526182,40.1834507095636,0.516654644778015,0.667397387645236,0.15684367383803,0.518081573668069
183,LowTemperatureChallenge,Train,54.009011408154,22.9576492411926,38.8282661361599,0.481061524109122,0.556941824617132,0.154132101235065,0.56179463712966
184,LowTemperatureChallenge,Train,55.5091683494893,25.1960208866684,38.5362541516588,0.546101477752666,0.787490441150045,0.1197353184532,0.546530841607009
185,LowTemperatureChallenge,Train,57.1117864601011,23.3883174188063,39.9664529613216,0.526581666379661,0.673706482951136,0.076916149694161,0.531110415567379
186,LowTemperatureChallenge,Test,53.3101175012209,26.9666352805711,38.8760492461671,0.493338470885345,0.772208339117566,0.127036570381892,0.568217326858468
