Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
49.05,39.5,38.8,35,18,0.55,26.9775,109.451947297674,4.05715678983129,500,4.55369166733448,7.57645146846301,0.908448145799883
50.6,39.5,38.8,35,22,0.55,27.83,105.197800603963,3.78001439468068,500,4.93176790940847,7.43709556811325,0.869864774005097
52.15,39.5,38.8,35,25,0.55,28.6825,101.812535649935,3.54963952409778,500,5.30434635581665,7.30087341323866,0.83208496938527
53.7,39.5,38.8,35,27,0.55,29.535,99.117471660963,3.35593267854962,500,5.68777592177895,7.15644467031591,0.916182036791776
55.25,39.5,38.8,35,28,0.53,29.2825,93.6571274789896,3.19839929920565,500,5.83385855471195,6.80744148921013,0.99972937384199
56.8,39.5,38.8,35,30,0.5,28.4,87.1101478505782,3.06725872713304,500,5.80426652573407,6.41610751309101,0.999956765073275
58.35,39.5,38.8,35,30,0.475,27.71625,81.9921178577694,2.95826880829006,500,5.7814970144057,6.10988835282993,0.999975552438114
59.9,39.5,38.8,35,30,0.445,26.6555,78.2537285632865,2.93574416399192,498.61101337266,5.58891321897312,5.86630456763467,0.999796524400767
61.45,39.5,38.8,35,28,0.435,26.73075,79.3740573073924,2.96939133048614,489.939532010827,5.5173573694319,5.82302084111817,0.877654655255896
63,39.5,38.8,35,18,0.485,30.555,96.4909476616891,3.15794297698213,452.996112052355,5.83189169213749,6.41852213949297,0.812204509700916
47.5,40,38.8,35,7,0.545,25.8875,113.663280702638,4.3906627021782,500,4.12315615722926,7.63000880845203,0.846201083555545
49.05,40,38.8,35,18,0.55,26.9775,108.893236949195,4.03644655543304,500,4.54786948718845,7.54554256035854,0.911451500743203
50.6,40,38.8,35,22,0.55,27.83,104.737278962449,3.76346672520476,500,4.9224603531013,7.40962114233164,0.865653455913204
52.15,40,38.8,35,25,0.55,28.6825,101.437273998669,3.53655622761855,500,5.2919937501583,7.27665183628278,0.803337997780194
53.7,40,38.8,35,27,0.55,29.535,98.8047500335965,3.34534450765521,500,5.6739361393502,7.13511881948337,0.894366596245448
55.25,40,38.8,35,29,0.53,29.2825,93.4301874593569,3.19064927719139,500,5.81301434339876,6.79150687322672,0.999731965052592
56.8,40,38.8,35,30,0.5,28.4,86.9266741764552,3.0607983864949,500,5.78465576645674,6.40053073918193,0.999962625650604
58.35,40,38.8,35,31,0.475,27.71625,81.8692041246815,2.9538340910001,500,5.76016373493032,6.09810460413545,0.999979571309512
59.9,40,38.8,35,30,0.445,26.6555,78.1071062552781,2.93024352404862,498.698093008811,5.57324487597647,5.85057382254095,0.999835673751357
61.45,40,38.8,35,29,0.435,26.73075,79.1501125170733,2.96101353374197,490.006958449779,5.50168263665489,5.80552535545539,0.887531393591266
63,40,38.8,35,18,0.485,30.555,96.6104654855335,3.1618545405182,452.31665266307,5.79615104932699,6.41240962084552,0.818370934346193
47.5,40.5,38.8,35,7,0.545,25.8875,113.016041962749,4.36566072284881,500,4.12112559406075,7.59621675691775,0.85741485265503
